form	sense	year	origin	Loan
szelindek	Spürhund, Bullenbeißer	1395.0	Slavic	True
szellem	Geist, Esprit,  Mentalität,  Gespenst,  Windhauch,  Wesen, Sinngehalt,  Behauchung, Aspiration,  Witz, Scharfsinn	1808.0	internal	False
szem	Auge,  Korn,  Ansicht, Beurteilung,  Glied,  Beere,  Blick, Rücksicht,  ein Körnchen 〈als Maß〉,  Masche,  augenförmige Verzierung,  Punkt, Werteinheit 〈auf Spielkarten, Würfeln usw〉,  Körner hervorbringen,  augenlos,  unverschämt, frech,  besehen, besichtigen,  auslesen, sortieren,  großäugig,  Körner hervorbringen,  mit jmdm äugeln, kokettieren,  Auswahl	1067.0	Proto-Uralic	False
szemafor	Semaphor	1854.0	international word	True
szembe	in Richtung, entgegen, gegen jmdn od etw	1456.0		False
szemcse	Körnchen,  kleine Vorwölbung	1828.0	internal	False
személy	Äußeres, Gestalt, Figur,  Bild,  Vertreter,  Mensch, Person,  Gesicht, Aussehen, Blick,  Frauensperson,  Hure,  Schauspieler,  Würde,  Person 〈Grammatik〉,  Rolle,  Personenzug, személyiség	1214.0	derived word	False
szemenszedett	erwählt, auserlesen	1613.0	compound	False
szemerek †	Art Nadelbaum	1231.0		False
szemerke ×	Wacholderbaum,  Nadelbaum, haupts Fichte,  Sumach	1389.0	Slavic	True
szemérem	Schande,  Schamgefühl, Schamhaftigkeit,  Schamteile,  Schande	1372.0	unknown	False
szemerkél	klauben, auslesen, kramen,  rieseln, tröpfeln	1784.0		False
szemereg	rieseln, tröpfeln,  quellen, sprudeln	1807.0	derived word	False
szemernyi	sehr wenig, ein bißchen,  ein Gran schwer, 0,073 Gramm	1843.0	derived word	False
szemét	Kehricht, Müll,  Misthaufen, Müllhaufen,  Mistkerl, Schurke,  mistig, schmutzig,  Müll wegräumend 〈Person〉,  Müllkutscher. Müllfuhrmann	1086.0	Slavic	True
szemfedél	Augenlid,  Leichentuch,  grobes Tuch, grobes Kleid,  Augenklappen〈auch abstr〉	1405.0		False
szemfényvesztés	Betrügerei, Täuschung,  Gaukelei, Spiegelfechterei,  schwaches Sehvermögen, Blindheit	1547.0		False
szemfog	 Eckzahn	1708.0	German	True
szemfüles	findig, pfiffig	1723.0	derived word	False
szeminárium	Ausbildungsstätte für Geistliche,  Seminar als Arbeitsgemeinschaft an Hochschulen, Seminarübung, die Räume dafür,  Lernzirkel	1619.0		False
szemközt	zwischen die Augen, zwischen den Augen,  entgegen,  entgegen,  vor der Front 〈der Truppe〉,  entgegen	1754.0	compound	False
szemlél	anschauen, betrachten,  herumschauen,  auswählen, auslesen,  kennen,  Aussehen, Äußeres,  Gegenstand, Objekt,  Besichtigung,  Anschauung	1493.0		False
szemölcs	Warze,  Papille,  Warze,  Warze,  Warze	1405.0	derived word	False
szemöldök	Augenbraue,  den Oberbau tragender Querbalken	1405.0	internal	False
szempont	Gesichtspunkt	1787.0	compound	False
szemunca ×	Nachkomme, Nachkommenschaft	1710.0	Romanian	True
szemügy	Sehen, Erblicken, Besichtigen, Untersuchen,  Wink mit dem Auge,  Gesichtspunkt	1519.0	compound	False
szemüveg	Brille	1789.0		False
szén	Holzkohle,  Glut,  Steinkohle,  Kohlenstoff,  Zeichenkohle,  Tierkohle 〈Arznei〉	1214.0	Proto-Finno-Ugric	False
széna	Heu	1055.0	Slavic	True
szenátor	Ratsherr, Senator	1559.0		False
szende	gelassen, gesetzt,  sanft, mild,  sanftmütig, naiv 〈haupts Frau, Kind〉,  Naive	1823.0	internal	False
szenderetesség †	Seelenfrieden	1372.0		False
szenderedik	schlummern,  erstaunen	1527.0		False
szendvics	belegte Brotscheibe	1853.0	international word	True
szenilis	greisenhaft, altersschwach	1865.0		False
szenna ×	Sennespflanze, Sennesblätter	1578.0	Wanderwort	True
szent	heilig,   Gott geheiligt, gewidmet,  erhaben, verehrungswürdig,  unantastbar, unverletzlich,  gewiß, sicher,  〈in verstärkender Funktion〉,  Heilige,  sehr frommer Mensch,  mein Schatz 〈als liebkosende Anrede〉,  〈als Ausruf od milder Fluch〉,  heiliggesprochen werden,  heilig	1156.0	Slavic	True
szentel	weihen,  widmen,  Schutz	1372.0	uncertain	False
szentencia	Urteil, Urteilsspruch,   Meinung,	1474.0	Latin	True
szentimentális	gefühlvoll, sentimental	1806.0		False
szentjánosbogár	Johanniskäfer,	1794.0	compound	False
szentjánoskenyér	Wurzel vom Engelsüß,  Johannisbrot,  Wurzel vom Engelsüß, eigtl Brot des Sankt Johannes	1778.0	compound	False
szenved	dulden, erleiden,  hinnehmen, erlauben,  leiden 〈physische od seelische Qualen〉, an etw leiden,  gern haben, gut gesinnt sein 〈jmdm, einer Sache〉,  sterben,  an Wert verlieren,  Geduld,  Enthaltsamheit,  unerträglich,  erträglich,  geduldig,  Zustand, in dem man der Qual nicht unterworfen ist,  Not leidende Person,  passiv 〈Verb〉,  passives Verb,  Leidenschaft,	1372.0		False
szenvtelen	apathisch, teilnahmslos	1842.0	internal	False
szenzáció	Sinneseindruck, seelisches Reagieren,  Aufsehen, aufsehenerregendes Ereignis	1789.0	international word	True
szennyes	schmutzig, unflätig,  schmutzige Wäsche	1211.0		False
szép	schön,  richtig, schicklich,  schön,  beträchtlich, bedeutend, groß,  günstig, nützlich,  das Schönste, das Beste,  die Schöne,  Schönheit	1127.0	Proto-Finno-Ugric	False
szeparál	absondern, trennen	1644.0		False
szepe ×	gesprenkeltes Haar habend 〈Pferd〉, sommersprossig,  blond, fahl, rothaarig 〈Pferd, Mensch〉,	1138.0		False
szepeg	schluchzen,  Angst haben, zittern,  schnobern, wimmern	1372.0		False
szepelkedik ×	sich bemühen, sich anstrengen	1569.0	Slavic	True
szepet ×	Reisekoffer,  Einkauftasche	1576.0	Ottoman-Turkic	True
szeplő	Makel, Schandfleck,  Runzel im Gesicht,  Sommersprosse, Leberfleck usw,  arbiges Tüpfchen 〈auf Tieren, Pflanzen, Sachen〉,  Sünde,  Räude, Krätze,  Wimmerl, Warze, Pockennarbe,  Art Krankheit mit ausschlag,  unbefleckt, makellos	1416.0	Turkic	True
szépszerint ∆	ungenötigt, freiwillig, auf gütlichem Wege	1687.0		False
szeptember	September	1416.0	Latin	True
szer¹ ×	Bodenfläche, Ortsteil, Dorfteil, Häuserreihe	1200.0	Chuvash	True
szer²	Ordnung, Anordnung,  Weise, Verfahren,  zeitliche Reihenfolge,  Reihe, Schicht,  Maß, Zurückhaltung,  Teil von etw,  Gerät,  Mittel, Arznei,  Person,  Zeremonie,  geom Verhältnis,  Vertrag, Bündnis,  bereitwillig, geschickt, rendetlenné tesz	1372.0	Proto-Uralic	False
szeráj ∆	Serail,  Harem	1579.0	Ottoman-Turkic	True
szerb	Serbe,  serbisch	1516.0	Croatian or Serbian	True
szerda	Mittwoch,  Ranzen,  Wochenmarkt,  am Mittwoch fastende Person,  Ranzen, Schürzentasche	1177.0	Slavic	True
szerdék¹ ×	geronnene Milch,  Gekoch,  fester Teil der Marmelade	1395.0	derived word	False
szerdék² ∆	Anschaffung, Gewinn, Beute,   Ding,   Person,  Apparat, Bestandteil	1565.0	derived word	False
szerecsen	Araber, Ismaelit,  Neger,  arabisch, ismaelitisch,  negerisch	1138.0	loan	True
szerel	aus-, aufrüsten,  entwaffnen, abrüsten 〈trans〉,  Gerüst wegnehmen,  zusammenstellen, auf-, abmontieren,  instrumentieren, mit etw abstimmen,  Betriebsmaterial nehmen 〈Lokomotive〉,  einem den Ball abnehmen,  abrüsten 〈intrans, Soldat, auch Arbeiter〉,  Ausrüstung,  , Armatur,  Eisenbahnzug,  Monteur	1807.0	internal	False
szerelem	Liebe, Vorliebe,  Eifer,  Geliebte,  Liebe 〈sexuell〉, Liebesverhältnis,  geliebte Sache, Liebstes,  geliebt,  liebenswürdig,  verliebt,  Geliebte,  geliebt,  gerne, mit Vergnügen	1131.0		False
szerenád	Serenade	1796.0	international word	True
szerencs †	Verbrecher, Räuber	1300.0	unknown	False
szerencse	Schicksal, Zufall,  Glück,  gute Partie 〈zum Heiraten bzw das Heiraten für Frauen〉,  die Ehre, das Vergnügen 〈in Formeln〉,  Schelle 〈Spielkartenfarbe〉	1372.0	Slavic	True
szerény	bescheiden,  maßhaltend, unbefangen sachlich,  genügsam,  gering, mittelmäßig,  schlicht, kärglich	1792.0	internal	False
szerep	Rolle in einem Bühnenwerk,  Funktion,  geheuchelte Haltung, tárgyas igeként szerepet alakít	1787.0	internal	False
szerez	schaffen,  verordnen, vorschreiben,  sich entschließen, sich vorbereiten,  besprechen,  vorrichten, zurechtlegen,  ersinnen,  besorgen, erledigen,  zurechtstellen,  erwerben,  bestimmen, bestimmend versprechen,  einstellen, einschließen,  antreiben, zwingen,  ergänzen, hinzufügen, erhöhen,  jmdm eine Stelle verschaffen, einen Vertrag mit jmdm über eine Arbeit schließen,  verursachen,  im voraus besorgen, einkaufen,  vorrichten, bereitlegen lassen,  Schöpfer 〈heute haupts eines Kunstwerkes〉	1372.0	derived word	False
széria	Serie	1896.0	international word	True
szerint	gemäß, entsprechend,  mit Rücksicht auf etw,  überallhin, überall 〈nach einer Ortsbestimmung〉,  zur Zeit,  der Reihe nach,  jm Wunsch gemäß,  jm Meinung nach,  meiner, deiner usw Meinung nach,	1372.0	lexicalized inflected word-form	False
szerk †	sich zu jmdm gesellen	1372.0		False
szerkeszt	arithmetisch, geometrisch zusammenstellen,  konstruieren 〈Apparat, Satz usw〉,  verbinden 〈Personen〉, organisieren 〈Gemeinschaft〉,  redigieren,  verfassen,  Redakteur	1653.0	derived word	False
szerpentin	Serpentinenstraße,  Papierschlange	1874.0	German	True
szerszám	Gerät, Werkzeug, Mittel,  Pferdegeschirr,  Zubehör, Gerätschaft, Zeug,  Heilmittel, 〈zu gewissen Zwecken dienendes chemisches, ärztliches〉 Mittel,  Begattungsorgan,  Gewürz,  Waffe,  der/die Alte,  Wagen, Fuhre	1372.0	compound	False
szertartás	Beachtung, Wahrung,  Anordnung, Vorschrift,  Verlauf,  Reihe,  Gepflogenheit, Art und Weise,  Zeremonie, Liturgie,  Maßhalten, Regelmäßigkeit,  Vereinbarung	1510.0	compound	False
szerte	überallhin, überall 〈nach einer Ortsbestimmung〉,  der Reihe nach,  zerstreut, umher,  unordentlich zerstreut,  zer-, überallhin,  unordentlich zerstreut	1372.0	lexicalized inflected word-form	False
szérum	Molke, Blutserum,  Impfstoff	1793.0	Latin	True
szérű	Tenne,  ringförmiger Platz, Gegenstand,  Unterteil, Grund, Boden	1015.0	Chuvash	True
szerv	Schicksal, Los,  Organ 〈Biol〉,  Organ, Organisation,  fatal,  organisch	1844.0	internal	False
szervál	anspielen 〈im tennis-, Volleyballspiel〉	1932.0		False
szervíroz ∆	servieren	1843.0	German	True
szerviz¹	zusammengehöriges Tafelgeschirr	1769.0	German	True
szerviz²	Reparaturdienst,  Reparaturwerkstatt 〈für elektrische Geräte und Autos〉	1948.0	German	True
szervusz	〈freunchaftliche  Grußformel〉	1815.0		False
szerzet	Mönchsorden, Priesterstand,  Bestimmung, Anordnung,  Religion, Kult,  Geschöpf,  Ding, Sache,  Zustand,  Vertrag,  Beute,  sonderbarer Mensch, 〈selten〉 sonderbare Menschengruppe,  Zusatz,  religiös, einem Mönchsorden angehörend,  Mönch	1372.0	derived word	False
szesz	Laune,  Alkohol, alkoholisches Getränk,  Geruch, Dunst, Dampf,  Petroleum,  Essigsäure 〈im Wein〉,  unter dem Vorwand	1531.0	uncertain	False
szeszély	Laune,  schnelle, überraschende Veränderung	1815.0	internal	False
szesztra ×	Begine,  Zisterzienser,  zerzaustes Mädchen,  alte Jungfer	1398.0	Slavic	True
szét	durcheinander, umher,  auseinander	1702.0	lexicalized inflected word-form	False
szexuális	das grammatische Geschlecht betreffend,  sexual, sexuell,	1807.0		False
szexualitás	Sexualität	1865.0		False
szezon	Saison	1840.0	international word	True
szfinx	mythisches Fabelwesen,  Bildwerk,Relief, Figur von der Form einer Sphinx	1604.0	Latin	True
szid	schelten, schmähen,  scheltend,  Beschimpfung,  schädlich,  Beschimpfung	1416.0	unknown	False
szifon	Schankgefäß bzw -flasche für kohlensäurehaltige Getränke,  Geruchsverschluß	1867.0	international word	True
szt	Insel,  durch eine Flußkrümmung umschlossenes Landgebiet,  isolierte Menschengruppe	1055.0	derived word	False
szigony	Harpune, Fischgabel,  Angelborste,  Angel,  Heuhaken	1397.0	unknown	False
szigorú	kümmerlich, elend, karg, dürftig,  bekümmert, besorgt,  niederträchtig, schändlich,  verkümmert, kränklich,  öde, wüst, rauh, unwirtsam,  unerbittlich, unbeugsam,  steif, straff,  genau, konsequent,  dünn, hager,  eng 〈Weg, Durchgang〉	1724.0		False
szíj	Streifen,  Riemen,  Band, Seil,  Leder-,	1270.0	uncertain	False
szik	Sumpf, Morast,  natronhaltiger Boden,  Natronsalz	1055.0	uncertain	False
szikár	hager,  rocken, dürr, welk,	1782.0	derived word	False
szike	Art Messer,  Sichel mit Zähnen,  Skalpell	1792.0	unknown	False
szikkad	sich seelisch hart machen,  sich vermindern,  trocken werden,  abmagern	1527.0		False
szikla	Fels	1490.0	Slavic	True
szikra	Funke,  kleine Menge, winzige Spur	1395.0	Slavic	True
szikvíz ∆	Sodawasser	1870.0	compound	False
szil¹  ×	spalten,  beschnitzen, bearbeiten, hobeln,  behacken,  feilen, reiben	1405.0		False
szil²	Ulme 	1055.0	Proto-Finno-Ugric	False
szilaj	Unzucht treibend, wollüstig,  unbändig, wild,  das ganze Jahr hindurch im Freien gehalten 〈Herde, Vieh〉	1468.0	uncertain	False
szilánk	Splitter, Span,  fadenscheiniger Fetzen,  Fünkchen,  schmales Stück,  Schnitte 〈Eßware〉,  Scherbe,  Granne	1220.0		False
szilárd	fest, hart, feststehend, stabil,  standhaft, ausdauernd,  ernsthaft, inhaltsvoll,  fest, unerschütterlich 〈Macht, Ordnung, Preise usw〉	1816.0	internal	False
szilimány ×	unbeholfen, unglücklich,  dünn, zart, schmächtig	1799.0	Romanian	True
szilke ×	irdener Topf 〈haupts zum Essenholen〉	1570.0	unknown	False
szilva	Pflaumenbaum,  Pflaume,  Pflaumenschnaps	1177.0	Slavic	True
szilváner ∆	Art Weintraube	1842.0		False
szilváni	Art Weintraube,  Art Wein	1844.0		False
szilveszter	letzter Tag des Jahres,  Silvesternacht,	1899.0	internal	False
szilvórium ∆	Pflaumenbranntwein	1777.0	internal	False
szimatol	schnüffeln, beriechen, einen Geruch spüren 〈haupts Hund〉,  spähen,  herumtrödeln,  ahnen,  wenig, heikel fressen 〈Tier〉	1777.0		False
szimbólum	Glaubensbekenntnis, Glaubenssätze,  Sinnbild	1518.0		False
szimbolizmus	Vereinigung, Zusammenschluß,  sinnbildliche Darstellung, Symbolik,  Symbolismus 〈Richtung der Kunst und Dichtung〉	1854.0		False
szimfónia	Art mehrsätziges Musikstück und dessen Vorführung,  Harmonie	1789.0		False
szimmetria	Symmetrie	1793.0		False
szimpátia	Zuneigung	1770.0		False
szimpla	unkompliziert 〈Mechanismus, Struktur usw〉,  nicht zusammengesetzt 〈zB Fenster, Flinte〉,  einfach 〈Blüte〉,  unansehnlich, schlicht,  einfältig, simpel,  einläufiges Gewehr,  kleine Portion Mokka	1707.0	Latin	True
szimulál	vortäuschen, nachahmen, eine Rolle spielen	1619.0		False
szín¹	Laubhütte,  Scheune,  Hausflur,  Dachboden	1067.0	Slavic	True
szín²	schöne Gestalt, Schönheit, Anmut,  Angesicht, unmittelbare Gegenwart,  Farbe als Empfindung,  Oberfläche,  das Beste, das Vornehmste,  Erscheinungsform, das Äußere,  Bild, Bildnis,  Schein, Vorwand,  Farbe, Farbstoff,  Art und Weise,  Vorderseite, haupts rechte Seite bei Stoffen,  farbig,  bis an den Rand	1146.0	unknown	False
szín³	Theaterbühne,  Theater,  Teil eines Aktes, Szene,  heucheln,  schauspielern	1786.0		False
szinkrón	gleichzeitig, gleichläufig	1923.0		False
szint	Niveau 〈auch abstr〉	1843.0	internal	False
szintén	speziell 〈Adv〉,  ebenso, auch,  ganz und gar, durchaus,  fast, beinahe,  bis zum Rand	1456.0		False
szintézis	Verbindung, Zusammensetzung,  Aufbau eines Ganzen aus seinen Teilen 〈in der Wissenschaft〉,  chemisches Verfahren	1826.0		False
színültig	bis an den Rand	1767.0	internal	False
színvonal	Oberfläche,  Niveau, Stufe 〈auch abstr〉,	1838.0	compound	False
szipirtyó	böses  Weib, Hexe,   Hure	1770.0		False
szipka	Saugrohr,  Muntück von Pfeifen, Saugrohren usw,  Zigarettenspitze,  Tülle	1792.0	derived word	False
szipoly	Motte,  Kornwurm,  Raubvogel,  Blutegel,  Parasit,  Säufer,  Reißer, Wucherer,  Säugrüssel	1590.0		False
sziporkázik	Funken sprühen, funkeln,  〈Witze〉 sprühen, geistreich tun	1792.0		False
szippant	einmal kurz saugen,  einmal schnupfen,  einen Zug aus der Pfeife, aus der Zigarette tun	1755.0		False
szirén	Sirene 〈Myth〉,  Ordnung von Meeressäugern: Seekuh, Sirene usw,  betörende Schönheit, Vamp	1604.0	Latin	True
sziréna	Sirene als Warngerät	1893.0	international word	True
szirom	Blütenblatt	1790.0	internal	False
szirony¹	Flechtgerte, Bast,  schmaler  Lederstreifen, Lederfaden, Lederstückchen 〈Verzierung〉,  Pergament,  Kieme	1138.0	uncertain	False
szirony² ×	Harsch,  Rauhreif, Graupelregen	1708.0	Proto-Uralic	False
szirt	Felsen, Felsklippe,  Genick,  Prallufer 〈in Flußschleifen〉, Stromschnelle	1302.0	Turkic	True
szirup	Arznei in süßem Saft,  eingedickter Fruchtsaft,  mit Sirup versetzt,  süßlich, kitschig	1550.0	Wanderwort	True
sziszeg	zischen,  lispeln 〈Person〉,  zwitschern,  zischeln 〈Person vor Schmerz〉,  zur Mahnung od zum Ausdruck des Mißfallens zischen	1552.0		False
issziszifuszi	vergeblich 〈Mühe〉, außergewöhnlich anstrengend 〈Arbeit〉	1847.0	Latin	True
szít	anfachen 〈Feuer〉,  zu jmdm od es mit etw halten,  anstiften, anzetteln,  sammeln, zusammenscharren,  für sich gewinnen,  schneuzen 〈Kerze〉, zurückdrehen 〈Docht〉,  scharren 〈Glut, Kohle usw〉,  Schürzeug	1405.0	uncertain	False
szita	Sieb 〈haupts Mehlsieb〉,  sieben, beuteln,  rieseln	1237.0	Slavic	True
szitakötő	Libelle 〈Zool〉 	1782.0	compound	False
szitkozódik	fluchen, schimpfen	1474.0		False
szittya	Bewohner der südrussischen Steppe, Skythe, Szythe 〈im Altertum〉,  stolzer) Ungar,  skythisch bzw ungarisch von echtem Schrot und Korn	1533.0	Latin	True
szittyó	Binse 	1495.0	Slavic	True
szív¹	saugen,  einsaugen, verschlingen,  einatmen,  sich schneuzen,  ziehen,  aufschnupfen,  entnehmen,  zurücknehmen 〈Behauptung, Beschwerde〉,  in den Zähnen herumsaugen, im Ärger die Luft durch die Zähne einziehen,  rauchen, schnupfen,  sich betrinken,  ausrollen, ausziehen 〈Teig〉,  die Farbe ausziehen,  sickern,  Schwamm,  Heber,  pumpen,  schikanieren,  Pumpe,  Regenbogen,  sickern,  trocken werden,  aufgesogen werden,  verschwinden, weggehen	1456.0		False
szív²	Seele,  inneres Organ 〈im allg〉,  Inneres,  Herz 〈Organ〉,  Mut,  mein Liebe, Liebste 〈als Anrede〉,  Herz als Spielkartenfarbe,  Zentrum,  stilisierte Herzfigur, herzförmiges Ding,  mutig,  freundlich, herzlich,  zu Herzen nehmen,  lieb haben,  liebeln, sich liebkosen,  belieben,  lieb haben,  beherzigen 〈Rat, Lehre〉	1372.0		False
szivacs	Schwamm 〈Zool〉,  Schwamm zum Waschen und Säubern,  Saufbruder	1828.0	internal	False
sziváj ×	klitschig, viskos 〈Lehm〉,  ledern, zäh 〈Eßware〉	1766.0	derived word	False
szivar	Zigarre,  Mann, Kerl,  Zigarette	1837.0	internal	False
szivárvány	Schwamm,  Regenbogen,  Pumpbrunnen,  Saugrohr, -heber, -pumpe,  Wölbungsbogen,	1416.0	derived word	False
szívós	zähfaserig 〈Pflanze〉, biegsam 〈Rute〉,  hart, stark 〈Faser, Sehne〉, zäh 〈Fleisch〉,  biegsam, dehnbar, klebrig,  klitschig 〈Lehm〉,  widerstanfähig,  ausdauernd, hartnäckig,  vereist 〈Schnee〉	1398.0	derived word	False
szkepticizmus	Zweifel,  Skeptizismus als philos Richtung	1789.0		False
szláv	Slawe,  slawisch,  slowakisch	1783.0		False
szlovák	Slowake,  slowakisch	1828.0	Slovakian	True
szlovén	Slowene,  slowenisch	1819.0	German	True
szmoking	Smoking	1894.0	international word	True
sznob	Snob	1884.0		False
szó	Stimme, Ton, Ruf,  Wort,  Rede, jm Worte 〈Äußerung, Bitte usw〉,  Gespräch, Unterredung, Wortwechsel,  Gerede,  Wortgebrauch, Wortfügung, Aussprache,  Sprechen,  Redewendung,  Reden, Wort,  Ton, Klang, Lärm, Rede, Wort,  Proklamation,  Stimme hören lassen,  lauten,  Reden, Sprechen,  sprachlos,  in Wortwechsel geraten	1213.0	Proto-Ugric	False
szoba	Ofen,  〈heizbare〉 Wohnstube, Zimmer,  Badezimmer,  Dachboden	1221.0	Wanderwort	True
szobor	Säule, Pfahl,  Skulptur,  Gedenksäule, Grabmal,  skulpturieren,  herumstehen	1450.0	Slavic	True
szociális	die menschliche Gesellschaft betreffend,  fürsorgerisch	1834.0		False
szóda	Natriumkarbonat,  Sodawasser,  Natriumbikarbonat	1593.0	Wanderwort	True
szófa ∆	Sofa	1762.0	Wanderwort	True
szója	Soja 〈Pflanze〉	1884.0	international word	True
szokik	pflegen 〈zu tun〉,  sich an etw gewöhnen,  etw gewohnt, gewöhnt,  üblich, gepflogen, gewohnt	1348.0	unknown	False
szokmány ×	Art Überrock aus grobem Tuch,  Pekesche, Pelzrock	1560.0	Wanderwort	True
szoknya	Soutane, Kutte, breiter Mantel, Oberkleid,  Frauenrock,  Unterrock,  Frauenzimmer,  Frauenkleid	1372.0	Slavic	True
szokotál ×	rechnen, zählen, zusammenstellen, -setzen,  verschaffen,  erwägen, ins Auge fassen,  auf etw rechnen,  sich mit jmdm krachen	1646.0	Romanian	True
szolga	Knecht, Diener,  Adeliger,  〈als Ausdruck der Ergebenheit〉,  〈zur Benennung von Gebrauchsgegenständen〉,  mein Lieber, mein Kind 〈als liebkosende Anrede〉, Knecht, Diener,  Dienstmagd	1138.0	Slavic	True
szolgabíró	Richter der Adeligen in den mittelalterlichen Komitaten,  Schöffe, Mitrichter,  Bezirksbeamter	1404.0	compound	False
szolgafa ×	Art Haken, auf dem beim Kochen der Kessel hängt,  Stiefelknecht,  〈zur Benennung versch Behälter, Traggeräte usw〉,	1790.0	compound	False
szolid	gründlich, ausgeglichen,  fest, fundiert,  gediegen,  schlicht, bescheiden	1824.0	international word	True
szóló	Alleinspiel 〈Musik, Kartenspiel usw〉,  Solo- 〈zB Sologesang, -tanz usw〉	1787.0		False
szomak †	Feldflasche	1591.0	Ottoman-Turkic	True
szombat	Sonnabend,  dienstfreier Tag,  der Tag vor einem großen kirchlichen Feiertag,  acht bzw Acht 〈im Kartenspiel〉,  Sabbatist	1002.0	Slavic	True
szomjú ∆	durstig,  Durst,  durstig,  Durst	1372.0		False
szomoga ×	wäßrige Niederung, wo Binsen gedeihen	1270.0	Slavic	True
szomorú	traurig, trüb, betrübt,  betrüblich, schmerzlich,  bewölkt, trüb,  Traurigkeit,  traurig	1211.0		False
szomorkodik	traurig sein	1512.0		False
szomszéd	benachbart, angrenzend,  nachbarlich, Nachbar-,  Nachbar,  Nachbarschaft, unmittelbare Nähe,  〈als Anrede bzw Benennung für wenig od nicht bekannte Person〉	1299.0	Slavic	True
szonáta	Sonate	1796.0	international word	True
szonda	Sonde 〈als ärztliches Gerät〉,  Lot zum Messen der Wassertiefe,  Radiosonde,  Alkotest-Röhrchen	1782.0	German	True
szonett	Sonett	1789.0	international word	True
szongor †	Falke	1395.0	Turkic	True
szontyorít †	traurig erscheinen lassen	1456.0		False
szopik	saugen,  lutschen,  küssen,  einen Schluck trinken 〈alkoholisches Getränk〉,  sich betrinken,  ist nicht viel wert 〈im Kartenspiel〉,  Unannehmlichkeiten bekommen 〈zB schlechte Note, lächerliches Tor im Fußballspiel usw〉,  saugend,  stillend	1211.0	onomatopoetic	False
szopornyica	Rotz als Tierkrankheit, Staupe	1600.0	Croatian or Serbian	True
szoppan †	Falle,  schmaler Raum	1395.0		False
szoprán	Sopranstimme,  Gesamtheit der Sopranstimmen im Chor bzw Sopranpartie,  Sopranistin,  Sopran-	1835.0	German	True
szór	worfeln 〈Dreschgut〉,  zerschmeißen, schleudern,  sprenkeln, sprühen, streuen,  wiederholt sagen,  verschwenden, vergeuden,  streuen 〈Gewehr〉,  fallen 〈Getreidekörner〉	1405.0	Turkic	True
szórakozik	sich unterhalten	1830.0		False
szorgalom	Fürsorge,  Sorge, Besorgnis,  Eifer,  Fleiß,  Fleiß,  sorgfältig,  fleißig,  Fleiß,  Sorge, Besorgnis,  sich befleißigen,  sich ängstigen,  Sorge,  eifrig,  besorgt,  Sorge,  sorgsam,  fleißig,  aneifern,  sorgsam,	1372.0		False
szorgos	eilend,  enggedrängt, dicht,  eifrig, fleißig,  dringend,  überlastet 〈haupts Mühle〉,  eilend 〈Adv〉	1476.0		False
szorgol ∆	betreiben, beunruhigen	1816.0	derived word	False
szóror ∆	Ordensschwester	1474.0		False
szoros	eng, schmal,  streng, genau,  drückend 〈materielle Lage〉,  bedrängt 〈Seelenzustand〉,  dicht,  knapp, passend,  eng, vertraut 〈Beziehung〉,  zusammengepreßt 〈Hand〉,  eilig,  geringen Unterschied zeigend 〈Wettbewerb, Resultat〉,  Engpaß,  Meerenge,  Verengung, Einschnürung	1086.0		False
szoroz	multiplizieren,  vervielfachen,  zählen, Bedeutung haben,  Multiplikator,  Multiplikand	1827.0	internal	False
szortíroz	sortieren	1830.0	German	True
szortyog	schnüffeln, schnupfen,  sich räuspern 〈Tier〉,  schnarren 〈Pfeife〉,  brodeln,  quatschen 〈feuchter Boden, durchfeuchtete Fußbekleidung〉	1647.0	onomatopoetic	False
szósz	Tunke, Soße,  Wirrwarr, schwere Situation,  Wortschwall	1659.0	loan	True
szotyka ×	Hure,  schlagfertiges, geschicktes junges Mädchen	1791.0	uncertain	False
szotyog ×	quatschen,  fallen, plumpsen,  lispeln, lallen	1302.0		False
szotyola	Sonnenblume,  Sonnenblumenkerne	1894.0	derived word	False
szovjet	Vertretungsorgan in Rußland nach der Februarrevolution, später Verwaltungsbehörde in der Sowjetunion,  Einwohner von Sowjet- Rußland, später der Sowjetunion,  Räte-, Sowjet-,  sowjetrussisch bzw sowjetisch	1917.0	Russian	True
sző¹	weben,  durch Zusammensetzung herstellen,  ersinnen, Gedanken fassen,  Hüpfsteine werfen,  spinnen 〈Insekt aus Körpersekret〉,  Gestrüpp,  Gespinst,  Weber,  Halsausschnitt,  buschig,  verwickelt,  Kurve,  Gewebe,  Hausgesponnenes, hausgewebte Leinwand	1219.0	Proto-Finno-Ugric	False
sző² †	blond,  weißgelb, fahl 〈Pferd, Ochse usw〉	1086.0		False
szöcske	Grille,  Grashüpfer,	1275.0	derived word	False
szög	braun,  szőke	1138.0	Proto-Ugric	False
szökik	springen, hüpfen, tanzen,  fliehen, flüchten, sich unbemerkt hin- bzw wegbegeben,  ausbrechen 〈intrans〉, ausfallen,  hervorspritzen,  hervorsprießen 〈Bart〉, 〈in Halme, Ähren usw〉 schießen,  schießen 〈Blut〉,  springen	1198.0	Turkic	True
szökőév	Schaltjahr	1835.0	compound	False
szökőkút	Springbrunnen	1782.0	German	True
szőlő	Weinrebe,  Weintraube,  Weinberg, Weingarten,  traubenförmige Frucht versch Pflanzen, Johannisbeere	1075.0	Chuvash	True
szömörce	Art Ahorn,  Sumach,  Lärche,	1282.0	Slavic	True
