Grapheme	IPA
sír	ʃ iː r
sirály	ʃ i r aː j
sivár	ʃ i v aː r
sivatag	ʃ i v ɒ t ɒ ɡ
sívó	ʃ iː v oː
skarablya	ʃ k ɒ r ɒ b j ɒ
skorpió	ʃ k o r p i oː
skót	ʃ k oː t
slampet	ʃ l ɒ m p ɛ t
slukk	ʃ l u kː
slussz	ʃ l u sː
smukk	ʃ m u kː
snájdig	ʃ n aː j d i ɡ
sód	ʃ oː d
sódar	ʃ oː d ɒ r
sóder	ʃ oː d ɛ r
sógor	ʃ oː ɡ o r
soha	ʃ o h ɒ
sóhajt	ʃ oː h ɒ j t
sóher	ʃ oː h ɛ r
sok	ʃ o k
som	ʃ o m
somfordál	ʃ o m f o r d aː l
sompolyodik	ʃ o m p o j o d i k
sompolyog	ʃ o m p o j o ɡ
sop	ʃ o p
sopánkodik	ʃ o p aː n k o d i k
sopár	ʃ o p aː r
sor	ʃ o r
sorol	ʃ o r o l
sors	ʃ o r ʃ
sovány	ʃ o v aː ɲ
sör	ʃ ø r
sőre	ʃ øː r ɛ
sörény	ʃ ø r eː ɲ
sötét	ʃ ø t eː t
sövény	ʃ ø v eː ɲ
spárga	ʃ p aː r ɡ ɒ
spék	ʃ p eː k
spekulál	ʃ p ɛ k u l aː l
spenót	ʃ p ɛ n oː t
spiné	ʃ p i n eː
spiritusz	ʃ p i r i t u s
sprőd	ʃ p r øː d
srác	ʃ r aː t͡s
stáció	ʃ t aː t͡s i oː
stallum	ʃ t ɒ lː u m
statuál	ʃ t ɒ t u aː l
státus	ʃ t aː t u ʃ
stelázsi	ʃ t ɛ l aː ʒ i
stempely	ʃ t ɛ m p ɛ j
stempli	ʃ t ɛ m p l i
stikli	ʃ t i k l i
stoppol	ʃ t o pː o l
strand	ʃ t r ɒ n d
strázsa	ʃ t r aː ʒ ɒ
strimf	ʃ t r i m f
stucli	ʃ t u t͡s l i
stúdió	ʃ t uː d i oː
stúdium	ʃ t uː d i u m
suba	ʃ u b ɒ
sudamlik	ʃ u d ɒ m l i k
sudár	ʃ u d aː r
sui	ʃ u i
súg	ʃ uː ɡ
sugár	ʃ u ɡ aː r
suhancár	ʃ u h ɒ n t͡s aː r
suhog	ʃ u h o ɡ
sújt	ʃ uː j t
sukk	ʃ u kː
sukoró	ʃ u k o r oː
súly	ʃ uː j
sumák	ʃ u m aː k
summa	ʃ u mː ɒ
surc	ʃ u r t͡s
surján	ʃ u r j aː n
surmó	ʃ u r m oː
susnya	ʃ u ʃ ɲ ɒ
susog	ʃ u ʃ o ɡ
suta	ʃ u t ɒ
suttog	ʃ u tː o ɡ
suttyan	ʃ u cː ɒ n
suvad	ʃ u v ɒ d
sügér	ʃ y ɡ eː r
süket	ʃ y k ɛ t
sün	ʃ y n
süsü	ʃ y ʃ y
süt	ʃ y t
süvölt	ʃ y v ø l t
sváb	ʃ v aː b
svábbogár	ʃ v aː bː o ɡ aː r
szab	s ɒ b
szabad	s ɒ b ɒ d
szabados	s ɒ b ɒ d o ʃ
szaft	s ɒ f t
szag	s ɒ ɡ
száguld	s aː ɡ u l d
száj	s aː j
szajha	s ɒ j h ɒ
szak	s ɒ k
szakács	s ɒ k aː t͡ʃ
szakad	s ɒ k ɒ d
szakaszt	s ɒ k ɒ s t
szakaszkodik	s ɒ k ɒ s k o d i k
szakáll	s ɒ k aː lː
szakasz	s ɒ k ɒ s
szakma	s ɒ k m ɒ
szál	s aː l
szalad	s ɒ l ɒ d
szalag	s ɒ l ɒ ɡ
szálka	s aː l k ɒ
száll	s aː lː
szalma	s ɒ l m ɒ
szalon	s ɒ l o n
szám	s aː m
szamár	s ɒ m aː r
szamóca	s ɒ m oː t͡s ɒ
szán	s aː n
szanál	s ɒ n aː l
szanaszét	s ɒ n ɒ s eː t
szandzsák	s ɒ n d͡ʒ aː k
szánt	s aː n t
szapora	s ɒ p o r ɒ
szappan	s ɒ pː ɒ n
szapu	s ɒ p u
szár	s aː r
száraz	s aː r ɒ z
szárazföld	s aː r ɒ z f ø l d
szarka	s ɒ r k ɒ
származik	s aː r m ɒ z i k
szárny	s aː r ɲ
szárnyék	s aː r ɲ eː k
szarv	s ɒ r v
szarvas	s ɒ r v ɒ ʃ
szatyor	s ɒ c o r
szaval	s ɒ v ɒ l
szavaz	s ɒ v ɒ z
száz	s aː z
szeccel	s ɛ t͡sː ɛ l
szed	s ɛ d
szeg	s ɛ ɡ
szegény	s ɛ ɡ eː ɲ
szegrőlvégről	s ɛ ɡ r øː l v eː ɡ r øː l
szégyen	s eː ɟ ɛ n
szék	s eː k
székács	s eː k aː t͡ʃ
szekér	s ɛ k eː r
szekerce	s ɛ k ɛ r t͡s ɛ
szekrény	s ɛ k r eː ɲ
szel	s ɛ l
szél	s eː l
széles	s eː l ɛ ʃ
szelíd	s ɛ l iː d
szellem	s ɛ lː ɛ m
szem	s ɛ m
személy	s ɛ m eː j
szemerkél	s ɛ m ɛ r k eː l
szemereg	s ɛ m ɛ r ɛ ɡ
szemét	s ɛ m eː t
szemlél	s ɛ m l eː l
szemöldök	s ɛ m ø l d ø k
szemügy	s ɛ m y ɟ
szemüveg	s ɛ m y v ɛ ɡ
széna	s eː n ɒ
szende	s ɛ n d ɛ
szent	s ɛ n t
szenved	s ɛ n v ɛ d
szennyes	s ɛ ɲː ɛ ʃ
szép	s eː p
szeparál	s ɛ p ɒ r aː l
szepeg	s ɛ p ɛ ɡ
szeplő	s ɛ p l øː
szeptember	s ɛ p t ɛ m b ɛ r
szer	s ɛ r
szerda	s ɛ r d ɒ
szerdék	s ɛ r d eː k
szerel	s ɛ r ɛ l
szerelem	s ɛ r ɛ l ɛ m
szerencse	s ɛ r ɛ n t͡ʃ ɛ
szerez	s ɛ r ɛ z
szerszám	s ɛ r s aː m
szérű	s eː r yː
szerv	s ɛ r v
szerzet	s ɛ r z ɛ t
szesz	s ɛ s
szt	s t
szigorú	s i ɡ o r uː
szíj	s iː j
szik	s i k
szikla	s i k l ɒ
szikra	s i k r ɒ
szil	s i l
szilaj	s i l ɒ j
szilárd	s i l aː r d
szilimány	s i l i m aː ɲ
szimatol	s i m ɒ t o l
szimulál	s i m u l aː l
szín	s iː n
szipirtyó	s i p i r c oː
szipoly	s i p o j
sziporkázik	s i p o r k aː z i k
szirt	s i r t
szít	s iː t
szita	s i t ɒ
szív	s iː v
szivar	s i v ɒ r
szivárvány	s i v aː r v aː ɲ
szívós	s iː v oː ʃ
szó	s oː
szoba	s o b ɒ
szófa	s oː f ɒ
szokotál	s o k o t aː l
szolga	s o l ɡ ɒ
szolid	s o l i d
szomorú	s o m o r uː
szomszéd	s o m s eː d
szongor	s o n ɡ o r
szopik	s o p i k
szoppan	s o pː ɒ n
szór	s oː r
szórakozik	s oː r ɒ k o z i k
szorgalom	s o r ɡ ɒ l o m
szorgos	s o r ɡ o ʃ
szoros	s o r o ʃ
szoroz	s o r o z
szortyog	s o r c o ɡ
szotyka	s o c k ɒ
szotyog	s o c o ɡ
sző	s øː
szög	s ø ɡ
szökik	s ø k i k
szőlő	s øː l øː
szőr	s øː r
szőrme	s øː r m ɛ
szörnyül	s ø r ɲ y l
szörnyűdik	s ø r ɲ yː d i k
szöveg	s ø v ɛ ɡ
szövétnek	s ø v eː t n ɛ k
szufla	s u f l ɒ
szuka	s u k ɒ
szunyik	s u ɲ i k
szúnyog	s uː ɲ o ɡ
szuperál	s u p ɛ r aː l
szupojkó	s u p o j k oː
szúr	s uː r
szurdok	s u r d o k
szurok	s u r o k
szurtos	s u r t o ʃ
szuszimuszi	s u s i m u s i
szuszog	s u s o ɡ
szuszma	s u s m ɒ
szutykos	s u c k o ʃ
szutyongat	s u c o n ɡ ɒ t
szűk	s yː k
szűkmarkú	s yː k m ɒ r k uː
szül	s y l
szűnik	s yː n i k
szür	s y r
szüret	s y r ɛ t
szütyő	s y c øː
szűz	s yː z
tábla	t aː b l ɒ
tabló	t ɒ b l oː
tábor	t aː b o r
tag	t ɒ ɡ
tág	t aː ɡ
tagad	t ɒ ɡ ɒ d
táj	t aː j
tajdok	t ɒ j d o k
tajték	t ɒ j t eː k
takar	t ɒ k ɒ r
takarékos	t ɒ k ɒ r eː k o ʃ
takarít	t ɒ k ɒ r iː t
takaros	t ɒ k ɒ r o ʃ
tál	t aː l
talaj	t ɒ l ɒ j
talál	t ɒ l aː l
talántán	t ɒ l aː n t aː n
talap	t ɒ l ɒ p
tálca	t aː l t͡s ɒ
talicska	t ɒ l i t͡ʃ k ɒ
taliga	t ɒ l i ɡ ɒ
talmi	t ɒ l m i
talp	t ɒ l p
táltos	t aː l t o ʃ
támad	t aː m ɒ d
támogat	t aː m o ɡ ɒ t
tanács	t ɒ n aː t͡ʃ
tángál	t aː n ɡ aː l
tanít	t ɒ n iː t
tanórok	t ɒ n oː r o k
tanti	t ɒ n t i
tántorgat	t aː n t o r ɡ ɒ t
tanya	t ɒ ɲ ɒ
tányér	t aː ɲ eː r
tapasz	t ɒ p ɒ s
tápászkodik	t aː p aː s k o d i k
tapasztal	t ɒ p ɒ s t ɒ l
táplál	t aː p l aː l
tapogat	t ɒ p o ɡ ɒ t
tapot	t ɒ p o t
tapsifüles	t ɒ p ʃ i f y l ɛ ʃ
tar	t ɒ r
tár	t aː r
taraj	t ɒ r ɒ j
tárcsa	t aː r t͡ʃ ɒ
tárgy	t aː r ɟ
tarka	t ɒ r k ɒ
tarkabarka	t ɒ r k ɒ b ɒ r k ɒ
tarkó	t ɒ r k oː
tarló	t ɒ r l oː
taroglya	t ɒ r o ɡ j ɒ
társ	t aː r ʃ
tart	t ɒ r t
tartomány	t ɒ r t o m aː ɲ
tartozik	t ɒ r t o z i k
tartóztat	t ɒ r t oː z t ɒ t
tartózkodik	t ɒ r t oː z k o d i k
táska	t aː ʃ k ɒ
taszít	t ɒ s iː t
tat	t ɒ t
tata	t ɒ t ɒ
tavasz	t ɒ v ɒ s
távész	t aː v eː s
távol	t aː v o l
te	t ɛ
tébláb	t eː b l aː b
tege	t ɛ ɡ ɛ
teget	t ɛ ɡ ɛ t
tegnap	t ɛ ɡ n ɒ p
tehát	t ɛ h aː t
tehén	t ɛ h eː n
tej	t ɛ j
téka	t eː k ɒ
teke	t ɛ k ɛ
teker	t ɛ k ɛ r
tekint	t ɛ k i n t
teknő	t ɛ k n øː
teknősbéka	t ɛ k n øː ʃ b eː k ɒ
tel	t ɛ l
tél	t eː l
tele	t ɛ l ɛ
teljes	t ɛ l j ɛ ʃ
temet	t ɛ m ɛ t
templom	t ɛ m p l o m
tenger	t ɛ n ɡ ɛ r
tengeri	t ɛ n ɡ ɛ r i
tente	t ɛ n t ɛ
tenyészik	t ɛ ɲ eː s i k
tép	t eː p
teper	t ɛ p ɛ r
tér	t eː r
térd	t eː r d
terebély	t ɛ r ɛ b eː j
téreget	t eː r ɛ ɡ ɛ t
terepes	t ɛ r ɛ p ɛ ʃ
tergenye	t ɛ r ɡ ɛ ɲ ɛ
terít	t ɛ r iː t
térít	t eː r iː t
terjed	t ɛ r j ɛ d
természet	t ɛ r m eː s ɛ t
termet	t ɛ r m ɛ t
terminus	t ɛ r m i n u ʃ
test	t ɛ ʃ t
tészta	t eː s t ɒ
tesztemény	t ɛ s t ɛ m eː ɲ
tetem	t ɛ t ɛ m
tetemes	t ɛ t ɛ m ɛ ʃ
tetik	t ɛ t i k
teve	t ɛ v ɛ
textil	t ɛ k s t i l
ti	t i
tífusz	t iː f u s
tigris	t i ɡ r i ʃ
tikkad	t i kː ɒ d
tipli	t i p l i
tipp	t i pː
típus	t iː p u ʃ
tiszt	t i s t
tiszta	t i s t ɒ
tisztel	t i s t ɛ l
tíz	t iː z
toalett	t o ɒ l ɛ tː
tohonya	t o h o ɲ ɒ
tojik	t o j i k
tok	t o k
tóka	t oː k ɒ
tokány	t o k aː ɲ
toklász	t o k l aː s
tol	t o l
tolvaj	t o l v ɒ j
tomb	t o m b
tombol	t o m b o l
tompa	t o m p ɒ
tompor	t o m p o r
tónus	t oː n u ʃ
top	t o p
topán	t o p aː n
toportyánféreg	t o p o r c aː n f eː r ɛ ɡ
toporzékol	t o p o r z eː k o l
torbágy	t o r b aː ɟ
torha	t o r h ɒ
torlaszt	t o r l ɒ s t
torló	t o r l oː
torongy	t o r o n ɟ
torpad	t o r p ɒ d
torzsalkodik	t o r ʒ ɒ l k o d i k
tosz	t o s
tott	t o tː
totyakos	t o c ɒ k o ʃ
tova	t o v ɒ
több	t ø bː
tőgy	t øː ɟ
tök	t ø k
tőke	t øː k ɛ
tökkelütött	t ø kː ɛ l y t ø tː
tőle	t øː l ɛ
tölgy	t ø l ɟ
tölt	t ø l t
töm	t ø m
tömb	t ø m b
tömeg	t ø m ɛ ɡ
töméntelen	t ø m eː n t ɛ l ɛ n
tömény	t ø m eː ɲ
tömérdek	t ø m eː r d ɛ k
tömör	t ø m ø r
tömzsi	t ø m ʒ i
töpörödik	t ø p ø r ø d i k
töpped	t ø pː ɛ d
töpörtyű	t ø p ø r c yː
tör	t ø r
tőr	t øː r
törlejt	t ø r l ɛ j t
történik	t ø r t eː n i k
törtet	t ø r t ɛ t
törvény	t ø r v eː ɲ
törzsök	t ø r ʒ ø k
tövis	t ø v i ʃ
trabális	t r ɒ b aː l i ʃ
trafikál	t r ɒ f i k aː l
tragacs	t r ɒ ɡ ɒ t͡ʃ
tragédia	t r ɒ ɡ eː d i ɒ
trampli	t r ɒ m p l i
trappol	t r ɒ pː o l
tréfál	t r eː f aː l
treffel	t r ɛ fː ɛ l
trehány	t r ɛ h aː ɲ
trén	t r eː n
trombita	t r o m b i t ɒ
tuba	t u b ɒ
tubák	t u b aː k
tubus	t u b u ʃ
tud	t u d
tukmál	t u k m aː l
túl	t uː l
tulajdon	t u l ɒ j d o n
tulipiros	t u l i p i r o ʃ
tunya	t u ɲ ɒ
túr	t uː r
turha	t u r h ɒ
túró	t uː r oː
tusa	t u ʃ ɒ
tusakodik	t u ʃ ɒ k o d i k
tuszkol	t u s k o l
tutyimutyi	t u c i m u c i
tügy	t y ɟ
tündér	t y n d eː r
tűnik	t yː n i k
tüntet	t y n t ɛ t
tűr	t yː r
türkiz	t y r k i z
tüske	t y ʃ k ɛ
tüstént	t y ʃ t eː n t
tüsszent	t y sː ɛ n t
tütü	t y t y
tűz	t yː z
uborka	u b o r k ɒ
udvar	u d v ɒ r
udvarnok	u d v ɒ r n o k
ugat	u ɡ ɒ t
ugrifüles	u ɡ r i f y l ɛ ʃ
ugrik	u ɡ r i k
úgy	uː ɟ
uj	u j
új	uː j
ujj	u jː
un	u n
undokol	u n d o k o l
unikornis	u n i k o r n i ʃ
unoka	u n o k ɒ
úr	uː r
urna	u r n ɒ
úszik	uː s i k
út	uː t
utal	u t ɒ l
utál	u t aː l
után	u t aː n
utasít	u t ɒ ʃ iː t
utca	u t t͡s ɒ
utó	u t oː
utol	u t o l
ügy	y ɟ
ügyefogyott	y ɟ ɛ f o ɟ o tː
ühegy	y h ɛ ɟ
ük	y k
ül	y l
üld	y l d
ünő	y n øː
üreg	y r ɛ ɡ
üstöllést	y ʃ t ø lː eː ʃ t
üt	y t
üzelem	y z ɛ l ɛ m
üzem	y z ɛ m
üzlet	y z l ɛ t
vacak	v ɒ t͡s ɒ k
vackor	v ɒ t͡s k o r
vad	v ɒ d
vádli	v aː d l i
vádol	v aː d o l
vadon	v ɒ d o n
vág	v aː ɡ
vagy	v ɒ ɟ
vagyis	v ɒ ɟ i ʃ
vagyon	v ɒ ɟ o n
vaj	v ɒ j
váj	v aː j
vak	v ɒ k
vakar	v ɒ k ɒ r
vakog	v ɒ k o ɡ
vakondok	v ɒ k o n d o k
valag	v ɒ l ɒ ɡ
választ	v aː l ɒ s t
válik	v aː l i k
vall	v ɒ lː
váll	v aː lː
vállal	v aː lː ɒ l
való	v ɒ l oː
vált	v aː l t
váltn	v aː l t n
vályog	v aː j o ɡ
van	v ɒ n
vandál	v ɒ n d aː l
vánkos	v aː n k o ʃ
ványol	v aː ɲ o l
vápa	v aː p ɒ
vár	v aː r
varacsk	v ɒ r ɒ t͡ʃ k
varázs	v ɒ r aː ʒ
varga	v ɒ r ɡ ɒ
varjú	v ɒ r j uː
város	v aː r o ʃ
varr	v ɒ rː
várta	v aː r t ɒ
vas	v ɒ ʃ
vasárnap	v ɒ ʃ aː r n ɒ p
vásik	v aː ʃ i k
vaskos	v ɒ ʃ k o ʃ
vastag	v ɒ ʃ t ɒ ɡ
vászoncseléd	v aː s o n t͡ʃ ɛ l eː d
váz	v aː z
vecsernye	v ɛ t͡ʃ ɛ r ɲ ɛ
véd	v eː d
vég	v eː ɡ
végett	v eː ɡ ɛ tː
vegzál	v ɛ ɡ z aː l
vegyít	v ɛ ɟ iː t
véka	v eː k ɒ
vekeng	v ɛ k ɛ n ɡ
vekni	v ɛ k n i
vékony	v eː k o ɲ
vél	v eː l
velő	v ɛ l øː
vén	v eː n
véndely	v eː n d ɛ j
ver	v ɛ r
vér	v eː r
verdung	v ɛ r d u n ɡ
veréb	v ɛ r eː b
verem	v ɛ r ɛ m
vernyog	v ɛ r ɲ o ɡ
verőce	v ɛ r øː t͡s ɛ
vés	v eː ʃ
vese	v ɛ ʃ ɛ
vesz	v ɛ s
vész	v eː s
veszekedik	v ɛ s ɛ k ɛ d i k
vessző	v ɛ sː øː
veszt	v ɛ s t
veszejt	v ɛ s ɛ j t
veszteg	v ɛ s t ɛ ɡ
veszteget	v ɛ s t ɛ ɡ ɛ t
vet	v ɛ t
vét	v eː t
vetélkedik	v ɛ t eː l k ɛ d i k
vetemedik	v ɛ t ɛ m ɛ d i k
veterán	v ɛ t ɛ r aː n
vezényel	v ɛ z eː ɲ ɛ l
vezér	v ɛ z eː r
vezet	v ɛ z ɛ t
viasz	v i ɒ s
vibrál	v i b r aː l
vidék	v i d eː k
víg	v iː ɡ
vigály	v i ɡ aː j
vigasztal	v i ɡ ɒ s t ɒ l
vihar	v i h ɒ r
vijjog	v i jː o ɡ
világ	v i l aː ɡ
villám	v i lː aː m
villany	v i lː ɒ ɲ
villong	v i lː o n ɡ
vinkli	v i n k l i
vinkó	v i n k oː
vinnyog	v i ɲː o ɡ
vipera	v i p ɛ r ɒ
virág	v i r aː ɡ
virrad	v i rː ɒ d
virul	v i r u l
vírus	v iː r u ʃ
visel	v i ʃ ɛ l
visít	v i ʃ iː t
visong	v i ʃ o n ɡ
visz	v i s
viszálykodik	v i s aː j k o d i k
viszket	v i s k ɛ t
viszon	v i s o n
viszont	v i s o n t
viszonoz	v i s o n o z
viszonyol	v i s o ɲ o l
vissza	v i sː ɒ
visszál	v i sː aː l
vitéz	v i t eː z
vitorla	v i t o r l ɒ
vív	v iː v
vivát	v i v aː t
víz	v iː z
víziló	v iː z i l oː
vizsgál	v i ʒ ɡ aː l
von	v o n
vonal	v o n ɒ l
vonat	v o n ɒ t
vonatkozik	v o n ɒ t k o z i k
vonul	v o n u l
vonz	v o n z
vő	v øː
vödör	v ø d ø r
vőlegény	v øː l ɛ ɡ eː ɲ
völgy	v ø l ɟ
vörös	v ø r ø ʃ
zab	z ɒ b
zacskó	z ɒ t͡ʃ k oː
zahin	z ɒ h i n
zaj	z ɒ j
zajda	z ɒ j d ɒ
zákány	z aː k aː ɲ
zakatol	z ɒ k ɒ t o l
zaklat	z ɒ k l ɒ t
záp	z aː p
zápfog	z aː p f o ɡ
zár	z aː r
zarándok	z ɒ r aː n d o k
zászló	z aː s l oː
zavar	z ɒ v ɒ r
zeller	z ɛ lː ɛ r
zene	z ɛ n ɛ
zeng	z ɛ n ɡ
zilál	z i l aː l
zok	z o k
zokni	z o k n i
zokon	z o k o n
zomak	z o m ɒ k
zordon	z o r d o n
zöld	z ø l d
zötyköl	z ø c k ø l
zubog	z u b o ɡ
zug	z u ɡ
zúg	z uː ɡ
zúdít	z uː d iː t
zuhan	z u h ɒ n
zúr	z uː r
züllik	z y lː i k
zűrzavar	z yː r z ɒ v ɒ r
zsába	ʒ aː b ɒ
zsák	ʒ aː k
zsákmány	ʒ aː k m aː ɲ
zsámoly	ʒ aː m o j
zsarol	ʒ ɒ r o l
zseb	ʒ ɛ b
zsib	ʒ i b
zsibong	ʒ i b o n ɡ
zsibvásár	ʒ i b v aː ʃ aː r
zsidó	ʒ i d oː
zsr	ʒ r
zsinagóga	ʒ i n ɒ ɡ oː ɡ ɒ
zsinár	ʒ i n aː r
zsinat	ʒ i n ɒ t
zsineg	ʒ i n ɛ ɡ
zsír	ʒ iː r
zsiráf	ʒ i r aː f
zsivány	ʒ i v aː ɲ
zsugorog	ʒ u ɡ o r o ɡ
zsurmol	ʒ u r m o l
